301;302;303;304;305;306;307;308;309;310
0;0;0;0;0;0;0;0.00025;0;0
0;0;0;0;0;0;0;0.00025;0;0
0;0;0;0;0;0;0;0.00233;0;0
0;0;0;0;0;0;0.00036;0;0;0
0;0;0;0;0;0;0.00108;0;0;0
0;0;0;0;0;0.0002;0.00162;0;0;0
0;0.07301;0.07945;0.11588;0.12672;0.07208;0.00307;0.04966;0;0.1
0.21323;0.42958;0.78327;0.84852;0.75557;0.3638;0.04631;0.48828;0.1;0.7
0.5;1.3604;1.6527;1.7507;1.6347;1.1448;0.23306;1.0782;0.1;1.3
0.9;2.5441;2.4724;2.6173;2.0433;1.8994;0.71468;2.2708;0.1;1.6
1;2.2753;2.4712;3.1535;2.8062;2.9124;1.214;1.7;0.1;2.2
0.9;3.3785;3.2868;3.4341;3.3554;2.3472;2.2517;2.6;0.1;2.2
1.3;3.9604;3.3159;3.79;3.8576;2.9745;1.9087;3.4;0.2;3.7
1.8;3.4105;3.3285;3.7573;3.2205;0.3419;2.4373;3.2;0.7;3.3
1.3;3.2918;2.9154;3.2319;2.4196;3.3299;2.1889;3.4;0.6;2.4
1;2.7094;2.4929;2.6307;2.5381;1.27;0.09581;2.6;0.8;2.6
0.6;1.5098;1.358;1.775;1.743;0.46804;0.0126;1.5;0.7;1.8
0.4;0.69852;0.77225;0.88424;0.78223;0.55758;0.00804;0.4;0.4;0.8
0;0.11116;0.03863;0.10676;0.0766;0.07652;0.00111;0;0.1;0.1
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
